"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"ASIANPAINT","EQ","20-Mar-2020","       1601.20","       1610.00","       1757.40","       1570.55","       1737.30","       1742.95","       1680.17","    3128644","          5256665627.60","     139102","    1165377","         37.25"
"ASIANPAINT","EQ","23-Mar-2020","       1742.95","       1578.60","       1650.00","       1490.75","       1499.95","       1498.45","       1552.46","    2155326","          3346053532.55","     148588","    1138879","         52.84"
"ASIANPAINT","EQ","24-Mar-2020","       1498.45","       1556.55","       1598.00","       1453.25","       1536.00","       1524.85","       1536.00","    3911847","          6008584206.75","     206985","    1918868","         49.05"
"ASIANPAINT","EQ","25-Mar-2020","       1524.85","       1446.55","       1605.35","       1446.00","       1580.05","       1593.15","       1542.05","    2196424","          3386991100.45","     126127","     761284","         34.66"
"ASIANPAINT","EQ","26-Mar-2020","       1593.15","       1605.00","       1650.00","       1574.00","       1617.05","       1616.95","       1611.37","    2622119","          4225192939.45","     116060","    1180260","         45.01"
"ASIANPAINT","EQ","27-Mar-2020","       1616.95","       1664.80","       1665.25","       1550.20","       1618.00","       1604.15","       1604.38","    2102479","          3373172975.10","     109022","     748554","         35.60"
"ASIANPAINT","EQ","30-Mar-2020","       1604.15","       1591.15","       1619.50","       1559.05","       1596.00","       1594.95","       1596.64","    1844011","          2944229357.75","      95707","     865335","         46.93"
"ASIANPAINT","EQ","31-Mar-2020","       1594.95","       1625.00","       1690.00","       1601.80","       1656.00","       1666.50","       1662.50","    2789179","          4637008477.40","     133986","    1479149","         53.03"
"ASIANPAINT","EQ","01-Apr-2020","       1666.50","       1650.05","       1655.00","       1584.25","       1604.80","       1603.20","       1611.63","    1559456","          2513258286.80","     106082","     717404","         46.00"
"ASIANPAINT","EQ","03-Apr-2020","       1603.20","       1615.10","       1616.00","       1517.25","       1522.00","       1520.90","       1536.04","    2925847","          4494204301.45","     134230","    1456622","         49.78"
"ASIANPAINT","EQ","07-Apr-2020","       1520.90","       1540.00","       1635.00","       1538.00","       1625.20","       1623.80","       1597.81","    2733614","          4367787113.10","     123428","    1246876","         45.61"
